verified,location,username,name,user_id,text,created_at,source,tweet_id,lang,possibly_sensitive,edit_history_tweet_ids,type,withheld.copyright,withheld.country_codes
True,Ciudad de México,elpaismexico,EL PAÍS México,1263999129874690048,"🇦🇷 El auge en la construcción y un proceso de conservación ambiguo amenazan la identidad edilicia de los barrios detrás de la ‘París de Sudamérica’, Buenos Aires

🖋 @jpcriales https://t.co/z1pzDXXAt8",2022-11-21 19:10:45+00:00,Echobox,1594770309672050688,es,False,['1594770309672050688'],,,
False,Brasil,agroconsult_br,Agroconsult,915572152065302529,"🇦🇷 Os argentinos esperam pelo novo dólar soja;

🤔 Quanto de biodiesel vai ter no óleo diesel no ano que vem?

👥 Continua a pressão dos mercados para conhecer a nova equipe econômica;

🇨🇳 A China começa a semana com novas restrições à movimentação.

#economia #argentina #china",2022-11-21 19:10:45+00:00,Twitter Web App,1594770306773696512,pt,False,['1594770306773696512'],replied_to,,
False,,RobertucciJaime,Jaime Robertucci🇱🇹🇮🇹,1442931008320557057,Éste mundial apoyo absoluto para Argentina. https://t.co/SEBDPYMVPX,2022-11-21 19:10:43+00:00,Twitter Web App,1594770300935323648,es,False,['1594770300935323648'],,,
False,,caroAugusto11,Iquinho pouca ideia,814284061564870656,"@nahnoooooo @Justme19853834 @_Vniciussouza @Adriano74203504 @facundosc10 @imdeaga @vic079buddah @oocbrsao Kkkkkkkkk
É justamente essa a questão 
Tanto Argentina quanto Brasil são países racistas
Não faz sentido criticar a Argentina por isso
Sendo q aqui tb é racista",2022-11-21 19:10:43+00:00,Twitter for Android,1594770298095620096,pt,False,['1594770298095620096'],replied_to,,
False,,embaarg,𝔔𝔲𝔢𝔱𝔷𝔞𝔩𝔠𝔬𝔞𝔱𝔩 🐍,1362124302838030340,En el mundial participan 32 países y 30 quieren que pierda Argentina y Estados Unidos,2022-11-21 19:10:42+00:00,Twitter for Android,1594770294446690311,es,False,['1594770294446690311'],,,
False,Nigeria,elbashir_bala,🇺 🇳 🇧 🇷 🇪 🇦 🇰 🇦 🇧 🇱 🇪,802560698425442304,Argentina https://t.co/edOKEtqbxL,2022-11-21 19:10:42+00:00,Twitter for Android,1594770294082002945,es,False,['1594770294082002945'],quoted,,
False,ubico mi boca en sus tetas,louistereamogil,avru//🇦🇷ARGENTINA GANA EL MUNDIAL O ME LASTIMO,1543719247507066880,entonces hoy no duermo siesta asi a la noche tengo sueño y me duermo temprano para q mañana no me cueste levantarme a ver el partido de argentina,2022-11-21 19:10:41+00:00,Twitter for Android,1594770289321295873,es,False,['1594770289321295873'],,,
False,"Ipê,  Rs",patriciaareg,Patricia Audibert Reginatto,143909281,@g1 Viva a Argentina!!!👏👏,2022-11-21 19:10:40+00:00,Twitter for Android,1594770286276411394,es,False,['1594770286276411394'],replied_to,,
False,Colombia,CamiloB1954,Juan Camilo Bohórquez,457217480,"@DaniFRamirez Aguante el de Argentina, loco. https://t.co/kAI4XeWqig",2022-11-21 19:10:39+00:00,Twitter for iPhone,1594770282254045184,es,False,['1594770282254045184'],replied_to,,
False,"Seattle, WA",jasmine_banga97,Jasmine Banga,3138184728,@hermanator_078 Argentina 🤩,2022-11-21 19:10:37+00:00,Twitter for iPhone,1594770274448461824,es,False,['1594770274448461824'],replied_to,,
